persona_id,n_blocks,n_preference_updates_map,n_updated_blocks,n_ask_to_forget_blocks,n_native_update_pairs,n_blocks_with_qa,n_self_blocks,n_others_blocks,mean_turns_per_block,system_prompt_keys,n_stereotypical_preferences,n_anti_stereotypical_preferences,n_neutral_preferences,n_therapy_background,n_health_and_medical_conditions
904,99,29,53,24,29,44,97,2,2.9696969696969697,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages|religion|marital_status|children|location|education|occupation|income_range|political_view|hobbies_interests|personal_values|digital_habits|speaking_style_to_chatbot,25,30,27,20,10
908,93,24,45,21,24,48,90,3,2.946236559139785,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|marital_status|children|religion|personality|degree|education_institution|work|hobbies_interests|technological_profile|speaking_style_with_chatbot,20,26,27,20,10
913,79,23,44,21,23,36,76,3,3.2151898734177213,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|personality|education|current_profession|personal_background|family|living_situation|hobbies_and_interests|public_image|speaking_style_to_chatbot,18,28,29,20,10
915,93,25,50,25,25,48,91,2,3.086021505376344,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|native_language|other_languages_spoken|religion|marital_status|children|city|state|country|degree|school_or_work|personality|lifestyle|speaking_style_with_chatbot|emotional_profile,24,30,29,20,10
926,97,27,52,25,27,48,92,5,3.0309278350515463,short_persona|name|age|gender|sexual_orientation|race|nationality|residency|languages_spoken|personality|education|occupation|demographics|interests|speaking_style_to_chatbot|day_in_the_life,26,29,30,20,10
930,90,29,49,20,29,48,88,2,3.033333333333333,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|marital_status|children|location|education|occupation|income_level|hobbies_and_interests|tech_usage|personality|speaking_style|backstory,22,29,30,20,10
932,89,19,42,23,19,41,85,4,3.033707865168539,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|hometown|current_location|personality|degree|education_details|occupation|career_background|interests|language_proficiency|religious_spiritual_views|political_views|family_background|speaking_style_with_chatbot|example_influence_of_psychological_analysis_style,14,25,27,20,10
948,82,27,48,21,27,29,79,3,3.341463414634146,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|residency_status|marital_status|spouse|children|personality|education|employment|languages|religion|annual_income_CNY|hobbies|tech_comfort|living_situation|travel_habits|social_media_usage|speaking_style_with_chatbot|daily_routine,27,27,30,20,10
961,70,20,39,19,20,33,67,3,2.9285714285714284,short_persona|name|age|gender|sexual_orientation|race|ethnicity|nationality|personality|degree|school|current_occupation|career_background|location|languages_spoken|hobbies_and_interests|tech_stack|online_presence|goals|speaking_style_to_chatbot,5,27,29,20,10
973,104,25,53,28,25,54,99,5,3.1538461538461537,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|religion|marital_status|family|occupation|education|military_connection|languages_spoken|community_involvement|hobbies_and_interests|personality|demographic_notes|speaking_style_to_chatbot|psychological_profile,23,23,28,20,10
983,100,21,43,22,21,50,96,4,2.92,short_persona|name|age|gender|sexual_orientation|race|birthplace|current_location|citizenship_status|languages_spoken|education|occupation|family_background|socioeconomic_status|religion_spirituality|hobbies_interests|political_views|tech_comfort_level|travel_history|health_lifestyle|speaking_style_to_chatbot|day_in_the_life,20,29,28,20,10
999,114,33,59,26,33,55,111,3,3.087719298245614,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|marital_status|spouse|children|personality|education|occupation|economic_status|hobbies_interests|political_views|religion_spirituality|speaking_style_to_chatbot,30,30,28,20,10
